SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019
40,2,4,31,Nebraska,1826341,1826305,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,3237,11130,12631,11976,14042,11956,14339,10331,9667,8794,6509,25722,25763,26029,26467,26859,26619,26226,25470,25343,3653,15621,15220,16174,15683,16557,16135,16881,15731,15582,2856,10101,10543,9855,10784,10302,10484,9345,9739,9761,650,2073,3169,3083,4992,4045,5871,4642,3280,3295,-247,-1013,-993,-878,-1653,-2297,-1963,-3599,-3334,-4220,403,1060,2176,2205,3339,1748,3908,1043,-54,-925,-22,-31,-88,-84,-81,-94,-53,-57,-18,-42,277036.54.00,15811007.02.00,1665716.56.00,2268169.02.00,4109123.29.00,357753.52.00,12087916.08.00,4337255.57.00,2183567.03.00,85.123.101.814,82.404.455.905,86.990.148.395,83.763.285.798,87.821.613.442,84.990.543.584,88.346.051.079,31649989.11.00,12254860.26.00,55.043.111.928,57.082.140.513,53.004.075.209,57.597.607.221,54.643.852.248,55.224.100.337,48.906.690.796,11722453.15.00,9580693.03.00,21605734.48.00,17.157.668.907,16.581.589.434,26.662.393.847,24258046.18.00,1542145.29.00,24.293.724.845,17.076.391.602,17.072.441.556,-9200190.09.00,-8960537.05.00,-7870383.34.00,-14714522.15.00,-363958.18.00,-566723.09.00,-14725376.27.00,-12262546.32.00,-3108602.35.00,5.776.229.942,29689111.52.00,30989322.33.00,1305614.25.00,9.271.738.859,9754205.25.00,5.458.499.572,-468559.32.00,-798786.28.00
40,4,8,32,Nevada,2700551,2700677,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,1728,10325,31266,31974,41658,49311,50624,52342,57436,52815,8898,35845,34708,35082,35223,36228,36290,36152,35700,35932,4939,20204,20414,21249,21248,22454,23312,24504,25146,25610,3959,15641,14294,13833,13975,13774,12978,11648,10554,10322,911,795,3358,4222,3582,6219,2585,2679,-992,-970,-3055,-6054,13402,13900,23725,29035,34931,37822,47650,43207,-2144,-5259,16760,18122,27307,35254,37516,40501,46658,42237,-87,-57,212,19,376,283,130,193,224,256,3980353.54.00,12019698.02.00,11849142.57.00,9900687.44.00,12434837.44.00,9122018.49.00,4683360.53.00,15091087.48.00,12775383.38.00,74.620.484.993,74.821.422.223,76.989.604.646,9954285.41.00,78.999.860.499,10026339.17.00,83.241.216.768,83.858.491.047,83.864.142.709,57.767.719.549,52.390.389.402,1997903.47.00,49.967.838.232,48.461.034.939,44.871.624.212,39.568.792.561,35.196.155.035,33.801.080.868,2.936.214.887,3846245.04.00,15.297.195.671,12.807.498.859,31338243.29.00,8.937.675.188,9.100.686.407,-5513641.52.00,-5294039.59.00,-3932590.56.00,49.121.029.716,6043822.25.00,8048542.32.00,3589641.22.00,1290748.18.00,14138472.26.00,14843800.31.00,2480686.31.00,-15705565.08.00,23812941.56.00,65.659.824.716,97.636.619.578,6723467.31.00,16186873.36.00,12639617.26.00,9330158.39.00,13853312.12.00
40,1,1,33,New Hampshire,1316470,1316462,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,300,3440,4030,2390,6719,3009,5957,6480,4678,6246,3269,12986,12363,12600,12215,12378,12355,12251,12023,12004,2538,10741,10516,10888,11154,11990,11837,12352,12378,12125,731,2245,1847,1712,1061,388,518,-101,-355,-121,448,2888,3241,2520,2815,3885,3770,2490,2292,1947,-802,-1677,-896,-1714,2964,-1133,1719,4126,2784,4469,-354,1211,2345,806,5779,2752,5489,6616,5076,6416,-77,-16,-162,-128,-121,-131,-50,-35,-43,-49,98.492.053.741,93.502.049.966,95.063.703.999,30723055.24.00,92.729.832.778,3746208.26.00,17474562.43.00,88.985.039.145,88.486.703.406,24414953.52.00,79.533.087.232,35785205.16.00,83.865.828.209,89.823.129.343,88.380.109.883,29984964.19.00,26874630.37.00,89.378.647.017,17.027.156.988,13.968.962.735,12.916.592.162,7.977.554.575,2.906.703.435,3.867.609.776,-125104.01.00,-4379063.35.00,-1486572.41.00,31732959.33.00,24.511.861.517,1502124.28.00,19428467.44.00,29.104.491.868,28.148.434.085,14175809.33.00,16.963.628.855,14.352.183.566,-453196.25.00,-11294162.15.00,-4886137.04.00,22.286.024.279,-14146456.09.00,12.834.789.971,11068487.55.00,10083936.56.00,32.942.942.146,15308008.15.00,17.735.364.165,6.081.059.161,43.451.732.223,10276971.38.00,16387071.36.00,49.169.594.225,37.568.664.951,47.295.125.712
40,1,2,34,New Jersey,8791894,8791978,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,7468,28671,16825,12030,7553,3424,2878,14698,500,-3835,26541,106677,104508,103457,103320,103115,102906,101676,100724,99501,17109,71062,69000,72453,70501,72547,71177,74783,75450,75723,9432,35615,35508,31004,32819,30568,31729,26893,25274,23778,6995,34119,27597,28443,29837,41051,38619,44396,26340,21284,-8741,-41078,-46100,-47391,-55253,-68366,-67547,-56601,-51151,-48946,-1746,-6959,-18503,-18948,-25416,-27315,-28928,-12205,-24811,-27662,-218,15,-180,-26,150,171,77,10,37,49,1723869.07.00,13780261.41.00,11479886.23.00,11006918.47.00,10501258.36.00,10039658.59.00,7539217.15.00,559045.54.00,3331460.49.00,10433441.08.00,78.084.954.054,30982420.25.00,79.565.513.004,30398172.47.00,4169705.41.00,84.232.391.879,84.910.995.383,85.234.223.021,6805142.04.00,3053276.36.00,35.028.980.482,37.038.631.669,34.476.858.672,35.773.606.928,4852200.52.00,28.443.214.013,26.764.646.871,38.710.966.456,20509780.03.00,35591803.59.00,33.673.227.493,46.300.363.954,43.541.899.396,9616.35.00,29.642.884.273,23.957.386.828,-11010930.28.00,-3616342.44.00,-590565.26.00,-3928396.51.00,-11847086.44.00,-10262428.43.00,-6254939.27.00,-12608406.15.00,-8489813.55.00,-13159315.42.00,-1565362.01.00,-2346426.14.00,-14473013.42.00,-1346476.09.00,-4359259.03.00,-6245322.52.00,-13203596.08.00,-1894167.12.00
40,4,8,35,New Mexico,2059179,2059199,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,5353,15898,6859,4964,-2705,-277,2339,154,957,4088,6649,27795,27040,26723,26364,26054,25263,24131,23404,23125,3836,16369,16470,16792,17139,17633,18141,18527,18574,18388,2813,11426,10570,9931,9225,8421,7122,5604,4830,4737,387,3991,3650,5549,1780,3736,2437,2076,1437,1546,2069,493,-7247,-10583,-13779,-12431,-7165,-7499,-5244,-2136,2456,4484,-3597,-5034,-11999,-8695,-4728,-5423,-3807,-590,84,-12,-114,67,69,-3,-55,-27,-66,-59,6855554.32.00,16263316.25.00,13123397.42.00,10146691.25.00,7823886.06.00,1414963.24.00,8941854.31.00,3099626.03.00,655328.51.00,78.981.867.801,79.035.280.111,5875555.41.00,32811394.11.00,84.391.457.094,86.779.922.414,88.573.590.852,88.774.711.586,87.779.891.492,55.131.457.114,12045047.16.00,47.521.498.561,44.119.324.479,5047793.22.00,34.069.048.423,26.791.515.255,23.085.057.444,22.613.299.217,19.256.926.776,17.515.408.161,26.552.894.524,8.512.997.027,17.880.478.858,27628642.19.00,9.924.908.221,6.868.163.053,7.380.232.339,2.378.768.454,-79611.03.00,-1069051.18.00,-9832015.24.00,-15824519.56.00,-7124577.33.00,-9751838.52.00,-8439629.45.00,-32792.45.00,2726160.43.00,-12101792.24.00,-6814224.06.00,-12310352.41.00,-269042.21.00,-4361712.25.00,-987700.53.00,-1365936.36.00,-4694196.56.00
40,1,2,36,New York,19378102,19378144,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,21734,99363,73691,51515,26602,3617,-21238,-43856,-59221,-76790,61427,243118,239915,239882,237017,239352,235832,231376,226993,222924,35112,149781,146882,152549,148838,153893,151605,155137,160899,164817,26315,93337,93033,87333,88179,85459,84227,76239,66094,58107,18839,86625,89588,77368,83963,83817,88346,67742,55959,45753,-22616,-80582,-108406,-112483,-145432,-165857,-194013,-187910,-181262,-180649,-3777,6043,-18818,-35115,-61469,-82040,-105667,-120168,-125303,-134896,-804,-17,-524,-703,-108,198,202,73,-12,-1,8332065.19.00,4676794.48.00,3994944.05.00,1157666.48.00,2983216.52.00,87770.34.00,13299605.38.00,10083043.22.00,7278640.53.00,77.009.970.329,75.184.966.037,77.836.326.761,75.791.786.309,78.305.661.149,77.176.052.368,79.105.116.896,82.259.364.365,84.556.419.068,47.989.261.659,47.621.103.643,44.560.632.485,44.902.806.574,43.484.261.767,42.876.602.769,14791069.28.00,33.790.455.058,29.810.758.859,44.538.283.759,45.857.700.313,39.476.108.849,42.755.920.893,42.648.759.856,8289039.21.00,34.541.977.921,28.608.952.017,23.472.759.737,-2385458.12.00,-9150223.25.00,-12321876.55.00,-6762292.55.00,-732228.55.00,-14607128.54.00,-9693726.07.00,-4449869.55.00,-4464582.19.00,3.107.011.241,-16054051.13.00,-1319503.23.00,-2169087.26.00,-2907613.24.00,-6318089.33.00,-2123759.55.00,-6768280.14.00,-15343313.05.00
40,3,5,37,North Carolina,9535483,9535751,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,38572,83269,91884,93860,89551,98759,123142,113445,113382,106469,29917,121068,119567,119394,120207,120836,120837,120151,120176,119203,18643,79974,79529,84358,83523,88466,89237,91775,93703,94312,11274,41094,40038,35036,36684,32370,31600,28376,26473,24891,4585,9732,21531,19092,17822,21249,20381,20173,14913,14184,20699,32249,29492,39022,34379,44759,70958,64697,71915,67338,25284,41981,51023,58114,52201,66008,91339,84870,86828,81522,2014,194,823,710,666,381,203,199,81,56,9838709.49.00,536687.57.00,3125525.35.00,2612007.13.00,175122.52.00,16201672.18.00,12770541.42.00,10656806.09.00,7059137.44.00,5280016.05.00,32646670.33.00,86.111.171.791,84.468.100.911,88.623.159.881,88.412.842.011,89.874.069.071,12569657.37.00,6362574.49.00,42.735.213.836,21020936.31.00,35.764.136.358,37.099.096.223,32.427.505.317,21802582.34.00,27.788.249.349,25.639.898.173,23.853.722.088,201129.21.00,22.188.823.165,19.488.779.865,18.023.664.074,21445816.16.00,3212819.45.00,19.755.157.672,14.443.689.852,13.592.912.864,33.536.961.868,6550846.34.00,39.832.975.481,34.768.014.095,44.838.514.379,5044335.17.00,63.356.934.314,69.651.844.411,64.531.836.324,43.657.638.878,52.581.873.779,59.321.755.346,52.791.678.168,66.125.263.236,8257155.02.00,83.112.091.987,84.095.534.263,78.124.749.188
40,2,4,38,North Dakota,672591,672576,674715,685225,701176,722036,737401,754066,754434,754942,758080,762062,2139,10510,15951,20860,15365,16665,368,508,3138,3982,2336,9211,9879,10261,10974,11406,11341,11140,10570,10536,1494,6045,5936,6223,6204,6323,6145,6377,6150,6250,842,3166,3943,4038,4770,5083,5196,4763,4420,4286,436,1070,1132,1094,783,2067,1436,2692,1063,951,817,6216,10456,15237,9492,9354,-6302,-6981,-2358,-1267,1253,7286,11588,16331,10275,11421,-4866,-4289,-1295,-316,44,58,420,491,320,161,38,34,13,12,9103110.41.00,4188148.07.00,6991617.02.00,644612.53.00,4916818.23.00,602158.25.00,12684461.05.00,16200636.39.00,14364394.45.00,88.900.980.926,85.631.790.514,87.450.077.712,85.019.086.127,84.789.003.042,2452775.39.00,84.498.494.742,21570965.33.00,82.229.160.171,46.560.877.686,56.881.089.959,56.744.884.107,65.367.672.603,68.161.078.991,68.889.625.456,63.112.173.507,58.426.116.739,56.389.468.879,15.735.988.352,16.330.051.695,15.373.675.882,12169419.45.00,27.717.676.623,19.038.780.245,35.670.369.742,6752249.09.00,12.511.989.012,23596638.16.00,1394332.37.00,6868850.06.00,12939.13.00,9055928.05.00,-5922005.34.00,-4169679.07.00,-1949016.18.00,-11115826.35.00,11919653.31.00,11944419.46.00,15824977.34.00,1346218.03.00,5252058.48.00,-752409.03.00,-11385725.33.00,-11863432.49.00,-6929177.14.00
40,2,3,39,Ohio,11536504,11536751,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100,2585,5327,4260,27761,26016,14827,16843,25280,16691,12759,34801,137921,137689,139088,139559,139561,138667,136909,135947,134291,26542,110620,111343,114504,111902,118309,117570,122177,119884,117750,8259,27301,26346,24584,27657,21252,21097,14732,16063,16541,3321,14560,17404,23979,20703,24447,24174,19217,13237,9553,-8632,-36491,-39094,-20099,-21352,-30255,-28077,-8334,-12281,-12916,-5311,-21931,-21690,3880,-649,-5808,-3903,10883,956,-3363,-363,-43,-396,-703,-992,-617,-351,-335,-328,-419,15824833.21.00,15407286.08.00,48206.29.00,694157.34.00,344019.33.00,15456192.55.00,12581051.07.00,1085465.52.00,8247340.11.00,95.841.279.494,96.427.640.125,99.027.887.138,96.553.040.409,3169466.32.00,1878731.16.00,8166483.38.00,4576695.52.00,1316477.03.00,23.653.613.917,22.816.724.956,21021331.18.00,23.863.446.932,18.304.730.613,18.146.476.393,12.648.739.891,13.766.717.685,14.158.517.273,12.614.798.675,15.072.583.357,12300839.29.00,13105480.08.00,17610696.54.00,13219038.08.00,16.499.513.609,22411798.18.00,8.177.033.765,-2693068.18.00,-6428369.27.00,-12304105.25.00,-14038780.45.00,-10098629.57.00,-6917148.01.00,-11925807.34.00,-875621.59.00,-175941.41.00,-1500174.25.00,-14640728.31.00,3.355.587.596,-933300.37.00,-8337558.27.00,-5595242.24.00,9.344.029.068,13655587.29.00,-4797683.54.00
40,3,7,40,Oklahoma,3751351,3751582,3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971,8362,28435,30435,34400,24973,31313,16831,4985,8919,16736,13157,52572,52344,53335,53074,53525,52860,51467,49525,48759,7878,37762,36961,38598,38607,39730,39282,40329,40486,40266,5279,14810,15383,14737,14467,13795,13578,11138,9039,8493,1200,6613,6498,5587,6415,9257,7697,4399,4353,4484,1560,7030,8447,13841,4217,8317,-4358,-10504,-4408,3822,2760,13643,14945,19428,10632,17574,3339,-6105,-55,8306,323,-18,107,235,-126,-56,-86,-48,-65,-63,15490873.15.00,12695214.46.00,15062601.24.00,12157764.14.00,12434319.01.00,8197818.16.00,1664185.55.00,9721492.59.00,5806977.09.00,910.12.00,97.173.819.568,1033461.13.00,99.870.644.402,338820.29.00,437508.48.00,4415093.23.00,4777742.42.00,329227.42.00,39.240.504.149,7388362.11.00,38.417.482.314,37.424.006.335,35.427.720.708,34.656.183.881,28.349.453.723,22.966.248.964,25147883.25.00,17.521.772.717,17.083.831.053,14.564.597.522,16.594.663.761,23.773.425.922,19.645.650.857,19945603.02.00,1766804.26.00,22598584.11.00,18.626.653.894,22.207.928.733,36.081.724.415,15146005.22.00,2265599.49.00,-1872104.05.00,-11226233.48.00,-199971.58.00,9.679.372.679,36.148.426.611,39.291.759.786,10772037.17.00,27.503.424.024,45.132.784.612,14203981.41.00,-9231672.36.00,-232906.14.00,1725481.27.00
40,4,9,41,Oregon,3831074,3831079,3837491,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737,6412,34545,26965,23467,40776,52548,74184,53649,38261,35851,11884,45393,44925,45007,45452,45668,45593,44711,43425,43305,7822,32496,32943,33418,33804,35388,35334,36831,36180,36563,4062,12897,11982,11589,11648,10280,10259,7880,7245,6742,1565,10227,4187,3178,6700,5094,12604,8026,3356,3295,995,11426,10910,8768,22278,36867,51117,37653,27663,25821,2560,21653,15097,11946,28978,41961,63721,45679,31019,29116,-210,-5,-114,-68,150,307,204,90,-3,-7,1293043.51.00,9369401.54.00,8476340.42.00,8794752.41.00,7449958.35.00,4158679.15.00,1434374.18.00,7196545.15.00,5186294.21.00,84.300.891.611,84.784.051.343,85.451.978.394,85.734.807.459,88.702.444.756,87.182.361.992,89.465.107.673,86.913.584.043,87.058.669.181,33.457.305.487,13959722.55.00,29.633.819.427,29.542.037.548,25.767.523.796,25.312.838.956,19.141.078.126,17.404.337.103,16.053.101.431,26.530.810.515,12931844.22.00,8.126.350.689,16.992.758.549,12.768.459.749,18314039.47.00,19.495.722.467,8.061.967.608,7.845.590.213,16068748.17.00,28.078.620.653,22.420.340.731,10836988.49.00,92.409.659.513,10208347.36.00,24363407.14.00,66.453.578.645,24688852.09.00,56.172.058.286,38.854.531.255,9111526.41.00,73.494.948.839,8630208.46.00,12039754.16.00,1595888.16.00,74.515.546.253,69.326.920.982
40,1,2,42,Pennsylvania,12702379,12702868,12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989,8292,34655,21303,9191,12004,-3487,-2551,5366,13281,1067,36120,142973,142105,141793,142216,141920,140259,137982,136914,135190,30212,127718,125530,130935,126737,132748,129972,135741,134063,133439,5908,15255,16575,10858,15479,9172,10287,2241,2851,1751,5416,27287,25397,29379,34547,31806,37975,31046,31675,19532,-1674,-7522,-18975,-30128,-36614,-43668,-50422,-27406,-20731,-19588,3742,19765,6422,-749,-2067,-11862,-12447,3640,10944,-56,-1358,-365,-1694,-918,-1408,-797,-391,-515,-514,-628,3875356.53.00,2330683.11.00,1701885.53.00,2100021.11.00,1652442.06.00,16197251.08.00,13208787.35.00,11686461.29.00,9341975.04.00,567143.22.00,98.404.993.264,4199218.09.00,15250512.52.00,6363855.17.00,2785484.12.00,10287385.44.00,7972562.41.00,7062286.22.00,3308213.31.00,12.993.410.048,14169333.24.00,35161730.53.00,7.173.151.485,8.047.060.165,29214018.32.00,2.228.339.278,22796886.55.00,23962327.59.00,16515198.05.00,23.003.178.078,27.027.194.065,24.874.537.303,29.706.144.627,24.283.224.083,24.757.154.202,15.257.640.039,-9849298.01.00,-8124682.19.00,-5982719.12.00,-14407122.54.00,-6919100.48.00,-15738130.02.00,-239356.43.00,-10338888.52.00,-8835642.47.00,9213602.15.00,5.034.309.462,-977420.24.00,-2695130.48.00,-15461535.38.00,-16227885.59.00,2.847.095.782,8.553.821.487,-72908.23.00
40,1,1,44,Rhode Island,1052567,1052964,1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361,995,-310,972,460,855,129,705,-1097,2614,1074,2878,10998,11005,10871,10731,10875,10901,10663,10691,10481,2329,9754,9319,9631,9697,10079,9831,10044,9939,9802,549,1244,1686,1240,1034,796,1070,619,752,679,1661,4455,4376,3799,3469,4509,4120,2226,4653,3645,-1168,-6018,-5043,-4539,-3539,-5129,-4458,-3912,-2769,-3215,493,-1563,-667,-740,-70,-620,-338,-1686,1884,430,-47,9,-47,-40,-109,-47,-27,-30,-22,-35,7274607.33.00,73316.33.00,5095358.23.00,2777739.05.00,4971519.38.00,5313960.13.00,1590348.46.00,1911115.13.00,98.987.178.228,92.559.906.776,88.404.236.649,2169999.31.00,31173530.16.00,95.445.030.566,93.059.798.801,95.093.690.102,94.032.053.587,429076.13.00,30080863.36.00,15.994.156.346,29253579.38.00,9.796.226.179,7.537.875.219,2142856.27.00,5.860.513.159,7.114.609.548,6.412.774.928,42.275.413.644,25211828.33.00,10024278.09.00,32.865.675.644,42.698.843.419,38.999.732.587,17918749.47.00,44.021.646.578,737500.27.00,-11845661.18.00,-13066957.47.00,-5049627.07.00,-588146.51.00,-14283425.16.00,-3665379.21.00,-11729479.15.00,-10328800.24.00,-606461.59.00,-8053301.14.00,-1054577.08.00,-11692014.38.00,-1105312.26.00,-9785348.54.00,-5332487.42.00,-9937602.28.00,17.824.367.538,4.061.109.306
40,3,5,45,South Carolina,4625364,4625366,4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714,10283,36345,45360,46726,59537,68321,66030,63300,62888,64558,14171,57488,57527,56570,57287,58277,57755,56943,56793,56353,9658,42033,42073,44662,44538,46872,47256,48815,50428,50744,4513,15455,15454,11908,12749,11405,10499,8128,6365,5609,1167,2670,5837,5054,6234,7289,5165,5757,6067,5724,4483,18146,23594,29289,39825,49065,50199,49262,50330,53034,5650,20816,29431,34343,46059,56354,55364,55019,56397,58758,120,74,475,475,729,562,167,153,126,191,5880992.28.00,4227895.12.00,15546579.52.00,15835118.55.00,1661074.58.00,12116935.26.00,6871619.12.00,4001716.45.00,23534.52.00,5322033.04.00,89.618.576.285,94.209.378.033,4844284.57.00,96.488.569.104,95.952.184.721,97.833.140.733,99.803.828.122,99.178.431.857,33.209.266.836,32.918.153.635,25.118.563.289,10990833.58.00,579637.47.00,21966167.38.00,16.289.824.191,12.597.195.328,16045190.01.00,5.737.220.476,12.433.238.176,11013911.37.00,13.004.165.651,15.004.804.152,8123496.28.00,25632624.35.00,33456885.09.00,19791287.58.00,38.991.611.518,4282517.29.00,29696568.47.00,83.075.216.082,1671642.04.00,3213137.07.00,98.729.000.897,99.609.872.876,6090350.54.00,44.728.831.993,62.690.188.925,72.442.628.404,96.079.381.733,10012983.19.00,4025487.39.00,444941.31.00,2695487.32.00,8069480.36.00
40,2,4,46,South Dakota,814180,814198,816166,823579,833566,842316,849129,853988,862996,872868,878698,884659,1968,7413,9987,8750,6813,4859,9008,9872,5830,5961,3028,11794,11897,12059,12439,12255,12314,12196,12028,11911,1929,7289,7415,7279,7159,7744,7750,8079,7381,7337,1099,4505,4482,4780,5280,4511,4564,4117,4647,4574,169,1237,2105,89,1066,1615,3232,3748,513,418,687,1674,3292,3788,385,-1228,1242,2011,665,964,856,2911,5397,3877,1451,387,4474,5759,1178,1382,13,-3,108,93,82,-39,-30,-4,5,5,6419406.27.00,5973842.29.00,6520481.02.00,11802250.09.00,652114.26.00,5729285.01.00,863215.16.00,1223339.15.00,8491004.54.00,88.904.067.401,89.491.263.589,86.867.691.162,84.649.515.651,1565246.56.00,4576250.26.00,93.083.329.109,84.278.868.167,83.216.274.413,54.947.568.067,682177.15.00,57.044.589.058,62.431.826.042,52.973.459.839,53.162.988.123,12390990.05.00,53.061.089.334,31305350.26.00,15.087.711.809,25.405.139.562,17702121.26.00,12.604.607.303,18.965.226.699,37.647.409.644,43.183.106.511,5.857.615.414,4.740.957.163,6963483.07.00,39.730.983.106,45.206.046.726,4.552.320.649,-736770.42.00,14.467.228.582,23.170.017.928,7.593.205.166,15561512.22.00,35.505.520.675,65.136.122.669,46.268.174.012,17.156.927.952,4.544.608.503,35243975.26.00,66.353.124.438,5751368.38.00,15.674.647.845
40,3,6,47,Tennessee,6346105,6346276,6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174,9035,43980,54607,40442,46883,49947,54840,62789,62832,57543,19678,78632,80318,80277,80458,81877,81248,80601,80946,80239,14302,60180,60650,63478,63582,66105,66653,69124,68970,67977,5376,18452,19668,16799,16876,15772,14595,11477,11976,12262,982,8537,7785,9782,7409,9924,7236,8632,9506,9293,2848,16968,26761,13438,22248,24156,32954,42619,41341,36009,3830,25505,34546,23220,29657,34080,40190,51251,50847,45302,-171,23,393,423,350,95,55,61,9,-21,5499694.55.00,8295919.28.00,66625.14.00,5739751.18.00,7824536.42.00,4595452.01.00,1178478.52.00,156831.55.00,13319253.15.00,94.365.939.447,94.373.466.383,98.048.861.938,97.551.597.886,112463.29.00,1176242.24.00,5865450.11.00,3876864.34.00,99.960.259.705,1488980.23.00,10067971.21.00,25.947.932.066,25.892.245.697,24.019.993.919,34192078.09.00,17.187.816.014,17.767.979.211,18.031.285.648,13.386.540.795,3522876.24.00,15.109.391.718,227895.08.00,15.113.772.486,15547370.51.00,12.927.178.517,14.103.407.681,13.665.367.601,26.606.867.074,27350466.44.00,12608203.59.00,34.134.313.953,36.788.420.816,49.790.061.025,63.825.697.545,22247318.05.00,52.951.277.516,16655682.47.00,53.754.753.003,35.865.883.837,45.501.678.754,31703226.42.00,12048392.57.00,76.752.876.061,75.438.246.406,66.616.645.118
